Attack,PSNR,BER,SSIM,NC
NO,47.126518392219204,0.00054931640625,0.9987572431564331,0.9998367428779602
GN,47.126518392219204,0.00048828125,0.9987572431564331,0.9998332262039185
SP,47.126518392219204,0.00048828125,0.9987572431564331,0.9998005628585815
MF,47.126518392219204,0.00067138671875,0.9987572431564331,0.9998053312301636
GF,47.126518392219204,0.0006103515625,0.9987572431564331,0.9998310804367065
MD,47.126518392219204,0.0006103515625,0.9987572431564331,0.9998310804367065
RO,47.126518392219204,0.0003662109375,0.9987572431564331,0.9997634887695312
FR,47.126518392219204,0.00054931640625,0.9987572431564331,0.9998355507850647
FC,47.126518392219204,0.00054931640625,0.9987572431564331,0.9998335242271423
MB,47.126518392219204,0.00048828125,0.9987572431564331,0.9998201131820679
RCD,47.126518392219204,0.00042724609375,0.9987572431564331,0.9998046159744263
JPEG,47.126518392219204,0.00054931640625,0.9987572431564331,0.9998367428779602
CR,47.126518392219204,0.194091796875,0.9987572431564331,0.7056135535240173
RS,47.126518392219204,0.30755615234375,0.9987572431564331,0.5653693079948425
PI,47.126518392219204,0.420166015625,0.9987572431564331,0.6829800605773926
